state_fips,DP02_0064E,DP02_0061E,DP02_0065E,DP02_0062E,DP02_0063E,DP02_0060E,DP02_0059E,DP05_0077E,DP05_0078E,DP05_0080E,DP05_0071E,DP03_0052E,DP03_0053E,DP03_0054E,DP03_0055E,DP03_0056E,DP03_0057E,DP03_0058E,DP03_0059E,DP03_0060E,DP03_0061E,population estimate,state_abbr
53,1064440.0,1101904.0,622908.0,1174696.0,483549.0,260358.0,188200.0,5001482.0,251603.0,573457.0,882108.0,155404.0,102595.0,217004.0,228787.0,335962.0,497935.0,372647.0,450796.0,194700.0,199867.0,7169967.0,WA
08,909794.0,791683.0,536679.0,798224.0,307078.0,191957.0,133062.0,3731976.0,209885.0,161733.0,1157200.0,111732.0,76241.0,165617.0,178164.0,261592.0,377542.0,281673.0,337068.0,146006.0,146896.0,5436519.0,CO
34,1439971.0,1722597.0,907865.0,1026060.0,400424.0,351184.0,315598.0,5023606.0,1136347.0,838872.0,1764520.0,170840.0,113188.0,247138.0,232026.0,322263.0,490325.0,390092.0,556938.0,296256.0,380045.0,8960161.0,NJ
17,1776326.0,2281524.0,1122258.0,1812247.0,682300.0,544799.0,446625.0,7955484.0,1806398.0,666890.0,2162070.0,331315.0,204278.0,446453.0,425803.0,593198.0,836760.0,613614.0,724960.0,311141.0,330930.0,12854526.0,IL
06,5291984.0,5345542.0,3161747.0,5586071.0,2021944.0,2033160.0,2510370.0,14777594.0,2161459.0,5427928.0,15105860.0,694945.0,604666.0,1105197.0,1063551.0,1465836.0,2095531.0,1568843.0,2025327.0,1008388.0,1255844.0,38982847.0,CA
49,375297.0,397812.0,191854.0,466394.0,168267.0,93698.0,49768.0,2365205.0,31714.0,66594.0,409311.0,41568.0,31462.0,69801.0,79338.0,122029.0,194204.0,142832.0,154368.0,54469.0,48294.0,2993941.0,UT
45,571099.0,978521.0,326982.0,692360.0,309163.0,299123.0,148353.0,3119676.0,1321219.0,71123.0,267398.0,153170.0,108638.0,214556.0,210196.0,268161.0,342557.0,220018.0,214939.0,72559.0,66513.0,4893444.0,SC
42,1621733.0,3161786.0,1051486.0,1427444.0,724522.0,602519.0,296463.0,9881135.0,1358263.0,414492.0,874833.0,335813.0,240293.0,502208.0,483144.0,653515.0,908240.0,635089.0,703311.0,272891.0,272938.0,12790505.0,PA
51,1220919.0,1378738.0,912578.0,1117556.0,427037.0,369037.0,254900.0,5238967.0,1576081.0,516080.0,749458.0,169924.0,118872.0,240698.0,246542.0,361936.0,531135.0,398836.0,509334.0,241329.0,287030.0,8365952.0,VA
25,1101605.0,1162683.0,879256.0,741582.0,363330.0,241431.0,216649.0,4952367.0,453683.0,424161.0,760177.0,148170.0,121507.0,203309.0,186707.0,255677.0,390219.0,317494.0,451683.0,232217.0,278732.0,6789319.0,MA
18,704841.0,1474872.0,401467.0,904964.0,372514.0,343773.0,167020.0,5280583.0,604249.0,136671.0,441968.0,170817.0,123642.0,271263.0,272787.0,373917.0,492310.0,325558.0,318923.0,101113.0,86859.0,6614418.0,IN
48,3288777.0,4372430.0,1721618.0,3857193.0,1208509.0,1491909.0,1513995.0,11755493.0,3199022.0,1222975.0,10673909.0,627321.0,435491.0,929018.0,921649.0,1242931.0,1686524.0,1132060.0,1321579.0,541375.0,592471.0,27419612.0,TX
47,738613.0,1461364.0,428160.0,934347.0,312442.0,375345.0,228179.0,4898888.0,1099118.0,109828.0,340063.0,200034.0,146404.0,300527.0,282836.0,370757.0,470796.0,292764.0,284088.0,99880.0,99108.0,6597381.0,TN
