DP02_0064PE,DP02_0061PE,DP02_0065PE,DP02_0062PE,DP02_0063PE,DP02_0060PE,DP02_0059PE,DP05_0077PE,DP05_0078PE,DP05_0080PE,state,zip_code
12.9,33.9,10.6,25.5,8.7,5.7,2.9,81.5,5.8,1.9,12,33948
5.6,50.8,2.3,15.9,4.3,15.4,5.6,70.4,27.4,0.0,13,30668
25.1,20.9,20.4,15.1,8.7,7.3,2.4,74.2,18.2,4.3,45,29302
15.1,23.9,8.2,27.9,14.6,6.7,3.6,67.3,1.1,1.0,06,92315
8.6,34.5,5.0,29.3,10.7,9.5,2.4,75.1,12.1,3.1,12,32404
35.0,13.5,20.2,19.0,8.6,2.8,1.0,82.9,0.9,8.2,53,98072
10.4,42.7,3.7,17.4,12.7,7.8,5.3,93.6,5.5,0.0,45,29544
25.3,21.2,14.8,21.6,5.0,5.7,6.3,76.7,0.4,0.5,53,98672
11.1,46.1,5.0,21.5,7.5,7.0,1.7,97.3,0.0,0.5,18,46792
8.3,40.3,4.3,31.1,5.4,8.6,2.0,23.1,0.0,0.0,30,59213
19.2,29.2,14.1,21.6,11.2,3.3,1.4,89.1,5.4,0.5,36,14546
23.7,23.9,12.7,23.6,10.3,3.6,2.1,68.6,22.4,1.6,01,36693
15.2,27.9,9.8,17.8,9.2,9.7,10.4,11.1,52.5,6.1,36,10469
20.0,27.3,12.1,21.4,11.9,5.5,1.8,85.6,3.4,0.7,24,21619
10.5,39.6,5.6,25.6,9.3,8.0,1.5,89.0,2.1,0.0,12,34614
18.0,29.7,12.1,21.2,5.7,8.5,4.8,85.9,5.4,1.9,47,37601
30.7,22.2,16.1,18.1,8.7,2.4,1.9,82.7,4.7,6.1,34,08053
32.7,12.1,20.3,21.3,9.4,2.5,1.6,55.6,2.8,22.1,06,91381
29.4,13.4,31.8,11.6,11.2,1.3,1.2,85.1,3.9,6.2,36,13104
29.9,19.5,21.2,15.8,8.7,2.8,2.0,74.8,8.5,9.0,34,08054
12.1,33.0,6.8,23.6,11.3,7.1,6.0,86.4,6.5,1.6,28,39565
12.0,32.0,3.0,22.2,7.3,11.8,11.6,22.5,8.2,11.8,32,89142
29.4,19.9,18.6,18.0,7.4,3.8,2.9,73.0,8.8,5.3,45,29650
11.7,35.0,8.4,23.6,6.2,11.4,3.7,1.2,94.2,0.2,13,30311
13.0,38.6,6.0,18.2,17.5,4.6,2.1,97.1,0.0,0.0,19,50544
29.2,17.4,12.3,25.0,10.3,4.1,1.8,63.2,3.1,12.0,06,94521
6.2,37.4,6.0,26.2,7.7,12.5,4.0,64.8,31.5,0.0,12,32448
10.9,48.5,2.2,18.7,10.8,8.5,0.4,95.8,2.7,0.0,39,44412
11.3,41.1,4.2,23.9,12.8,4.0,2.7,96.7,0.0,0.0,17,62442
7.7,41.8,2.2,22.9,6.1,14.7,4.5,81.7,14.6,0.1,01,36320
19.0,28.1,13.1,24.9,11.5,3.3,0.1,94.3,2.6,0.9,17,61088
7.3,27.6,3.7,29.9,6.8,20.1,4.6,3.2,95.2,0.0,29,63106
25.8,19.7,11.5,26.2,8.5,4.4,3.9,53.5,9.1,12.9,48,76039
14.2,30.9,4.9,21.1,7.6,9.4,11.9,45.6,3.2,4.4,17,60106
28.6,25.4,9.3,25.4,7.3,1.1,3.0,91.1,3.1,1.5,51,23696
11.8,33.6,5.4,30.1,8.7,8.2,2.2,59.2,23.7,1.4,40,73110
9.8,26.2,2.9,24.8,7.2,12.7,16.3,8.0,18.9,10.5,06,90805
23.3,31.3,18.1,13.7,8.3,2.6,2.6,96.9,0.6,0.0,23,04355
22.1,23.6,14.1,24.2,8.1,4.1,3.8,79.5,5.2,2.1,21,40067
12.9,30.9,7.4,29.2,10.9,6.3,2.4,86.2,0.9,0.1,26,49065
13.7,40.1,5.0,20.4,5.2,9.6,6.0,35.2,56.4,0.0,45,29180
23.4,27.5,12.1,21.4,6.1,4.9,4.6,15.5,4.9,53.0,06,94587
13.8,25.8,5.6,28.1,8.6,8.3,9.9,29.3,4.7,6.2,06,93041
20.7,30.0,9.3,25.4,8.4,4.1,2.1,78.8,6.9,5.1,26,49015
5.0,51.5,0.0,19.1,10.3,9.5,4.6,80.5,0.0,4.7,27,56224
24.1,17.1,16.0,23.0,7.0,7.8,5.0,66.4,5.4,4.3,49,84111
33.0,9.1,34.0,15.4,5.9,1.5,1.1,86.5,7.1,1.6,26,48230
12.9,26.9,17.7,20.2,6.0,13.5,2.9,73.3,15.4,1.7,37,28394
46.7,5.5,25.1,16.2,5.2,0.6,0.7,82.2,0.8,6.5,06,94507
18.6,22.0,15.7,27.8,7.3,5.7,2.9,14.9,74.2,2.9,47,38125
1.7,40.0,2.0,23.3,11.0,12.7,9.3,59.3,21.4,0.2,22,71467
2.6,55.2,1.6,17.3,4.1,11.9,7.3,77.2,8.4,0.0,48,77371
16.1,34.6,8.0,20.2,5.9,7.5,7.7,20.7,48.3,20.8,42,19082
16.1,42.5,7.7,13.6,12.6,5.2,2.3,96.4,1.3,0.4,42,15656
22.6,22.0,29.9,15.1,7.2,1.6,1.7,76.7,7.4,5.8,09,06518
19.3,27.9,7.8,24.1,13.0,5.9,2.0,92.1,0.5,0.9,17,61010
11.5,31.0,3.7,30.5,8.9,8.4,6.0,67.5,0.0,3.9,06,92539
27.9,12.0,40.0,11.7,5.8,1.3,1.4,64.8,8.5,10.5,36,10530
31.7,17.3,25.4,13.7,8.4,2.5,1.0,90.2,1.1,3.0,44,02818
30.8,24.8,18.8,10.1,7.5,4.4,3.6,85.8,3.7,5.2,44,02921
18.6,24.4,7.3,27.1,11.5,7.3,3.8,73.0,1.8,4.6,53,98665
15.6,30.3,4.2,27.3,9.6,7.2,5.8,47.9,8.4,12.0,53,98204
0.0,60.6,6.6,17.9,7.5,6.6,0.7,74.7,2.1,12.5,42,18248
17.3,25.1,8.2,28.0,8.3,7.1,6.0,38.3,21.4,8.1,48,75043
15.8,41.2,5.7,19.1,8.9,5.9,3.3,40.8,8.1,11.9,34,08880
9.0,25.5,3.9,16.6,4.8,16.0,24.2,6.5,0.1,0.0,48,79835
10.4,38.9,4.9,25.8,8.9,9.3,1.9,24.3,70.4,0.9,39,44137
38.9,7.9,34.0,13.1,4.6,0.8,0.6,87.8,2.4,5.4,20,66209
14.0,37.8,5.2,24.3,5.3,9.5,3.9,79.1,2.7,0.7,40,73533
33.6,14.8,16.4,23.3,7.9,3.1,0.9,59.1,5.2,9.1,48,78729
28.0,13.5,26.1,5.8,1.8,6.6,18.2,39.2,1.9,49.3,25,02111
32.4,9.6,40.8,8.1,3.3,2.9,2.9,26.6,3.6,50.2,06,95134
15.9,37.8,4.5,24.8,10.1,5.6,1.2,90.7,0.3,0.3,31,68355
21.3,21.7,15.1,24.2,10.3,5.9,1.5,87.6,4.8,1.2,26,48124
10.3,22.5,6.5,19.1,6.7,9.9,25.0,23.8,0.4,2.4,06,95076
9.5,42.4,6.8,19.7,12.5,5.7,3.4,99.5,0.0,0.0,17,62892
15.9,32.7,6.7,27.4,13.9,2.5,0.8,91.0,0.0,1.7,53,99347
8.0,37.9,3.8,18.8,11.7,13.2,6.6,47.7,41.5,0.3,37,27537
24.7,20.1,13.9,25.7,10.4,3.6,1.5,71.8,2.2,5.1,04,85234
10.8,37.3,4.9,22.1,15.2,8.7,1.1,96.7,0.0,0.2,31,68757
21.4,30.3,8.5,22.7,9.9,5.3,1.9,94.4,0.0,1.3,55,53038
25.1,18.7,12.6,22.5,7.1,6.0,8.1,67.0,0.3,1.8,06,95476
16.1,31.8,6.8,23.6,12.9,5.1,3.7,95.8,0.7,0.7,27,56751
11.0,29.1,9.0,28.6,11.7,7.1,3.5,58.5,3.7,1.5,35,88310
8.4,33.3,6.2,25.6,7.1,10.8,8.7,53.5,29.4,1.0,17,60901
12.5,33.2,6.1,16.1,1.2,20.3,10.6,26.8,67.9,2.2,47,37402
13.0,26.5,10.9,17.5,8.6,14.8,8.6,52.5,21.3,8.6,36,13203
14.1,39.0,8.4,19.6,8.8,4.8,5.4,89.7,0.0,0.0,50,05046
8.7,39.1,9.0,22.9,8.3,7.5,4.5,97.1,0.0,0.0,05,72434
15.7,29.8,17.2,20.2,11.9,3.5,1.6,95.3,1.3,1.1,36,12804
14.1,19.5,9.7,24.7,6.8,10.5,14.7,31.8,1.3,6.6,06,93291
8.7,32.0,3.4,23.0,9.4,10.5,13.0,49.6,10.5,0.2,48,75941
12.6,30.0,5.7,30.0,11.9,7.0,2.8,90.6,1.1,0.5,26,49101
4.9,29.5,1.6,16.1,3.6,18.5,25.8,5.6,19.0,0.3,48,77022
15.5,36.0,6.7,23.0,11.4,5.6,1.8,90.0,0.1,0.7,17,61354
7.0,40.8,3.0,21.9,8.4,8.4,10.4,94.2,0.3,0.0,05,71937
27.6,14.6,23.9,21.5,5.6,4.8,2.0,85.2,7.4,1.0,21,40204
12.8,28.3,4.8,24.2,4.6,13.4,11.9,61.8,0.8,0.6,48,76446
13.9,35.6,7.6,25.3,8.0,6.7,2.9,90.6,0.8,0.3,51,22657
10.4,41.2,4.6,22.3,10.5,5.9,5.2,97.3,0.9,0.0,39,44625
25.4,24.3,14.0,22.4,8.6,3.4,2.0,90.0,2.8,1.4,26,49855
17.9,40.0,6.9,14.2,10.0,8.6,2.4,96.2,1.5,0.6,42,18840
